v,"""/min",P.A.
21.4,2.49,357
21.3,15.84,133.2
21.5,8.34,320.4
20.2,5.57,354.7
21.6,1.33,147.1
20.9,1,292.7
20.7,0.92,290.8
21,0.72,265.8
20,0.64,330.6
21.8,2.19,43.4
19.6,17.49,24.2
21.7,0.45,294.6
20.3,1.72,240.8
21.4,0.65,226.6
19.9,1.3,306.2
20.8,1.24,164.4
21.5,2.42,34.8
20.4,6.78,10.1
21.4,9.07,346.2
19.8,11.79,139.9
20.2,5.93,17.4
20.7,11.95,204.8
21.3,3.76,333.9
21.6,6.91,305.3
20.4,4.69,326.8
19,13.69,350.9
21.4,14.41,345.4
19.4,0.75,215
22,0.83,308.8
22.5,0.42,51
21.2,11.03,333.6
21.6,2.63,333.6
21.1,4.3,12.7
21.7,0.98,70.1
21.5,0.58,357
21.4,1.12,69.6
20.9,0.23,84.3
21.4,4.88,354.7
21.9,1.94,24.2
19.7,8.5,73.2
22.4,0.85,315.8
21.6,1.09,323.3
21.4,0.79,217.4
21.5,0.17,236.5
22,0.8,222.6
22,2.66,291.3
21.7,1.99,257.5
22.1,0.62,244.6
21.5,5.03,152.9
21.2,6.98,32.6
21,2.46,113.2
18.3,60.73,185.3
20.5,0.38,258.4
21.2,0.2,259.8
21.2,0.53,335.7
21.4,1.05,286.6
21.9,1.97,163.5
21.5,2.22,301.6
22.2,1.58,353.6
22.3,1.11,298
20.4,2.94,134.7
21.2,2,122.1
21,1.41,54.7
21.7,1.74,45.2
21.2,0.92,26.2
21.3,0.54,4.8
21.8,2.33,217.5
21.6,3.75,89.8
21.1,0.39,99
21.5,4.37,229.8
22.3,0.51,176.1
21.8,0.36,320.2
20.9,0.89,97.2
20.2,1.89,101.9
21.4,0.7,229.2
23,12.29,92.8
22.3,1.89,173.4
21.5,0.93,258.8
20.4,0.6,221.5
22.7,1.8,304.5
21.9,0.44,221.1
20,1.5,130.6
19.5,2.92,348.2
24.1,2.06,303.4
26.9,0.67,239
26.3,0.51,90.5
21.4,7.78,5.3
19.7,1.71,133.8
20.8,9.44,154.4
18.8,20.53,188.3
20.5,0.98,122
20.8,0.58,356.6
21.1,9.73,318.8
21.3,2.39,70.4
20.2,1.58,99.3
21.6,1.14,355.4
21.1,5.77,181.4
20.4,20.26,152.4
20.7,5.98,236.5
21.3,8.93,132.1
19.7,23.95,335.1
21.2,2.58,1.1
22,9.41,132.7
20.1,4.83,2.2
21.7,1.31,148.2
20.8,1,294.2
20.8,0.93,293.7
20.9,0.73,267.8
20,0.65,328.9
21.9,2.12,42.4
19.3,20.39,26.4
21.7,0.48,293.1
21.5,0.56,214.9
20,1.33,306.6
20.8,4.61,9.6
20.8,11.82,346.3
19.2,21.36,139.7
20.4,5.68,16.9
21.2,8.65,205.1
21.3,3.74,334
21.6,6.86,305.3
20.4,4.59,327.1
19.1,13.1,351
21.1,15.11,345.3
22,0.83,310.2
22.5,0.43,51.9
21.3,10.59,333.6
21.6,2.73,334.7
21,4.22,13.3
21.7,0.97,69.3
21.6,0.6,358.7
21.4,1.1,68.8
22,1.91,24.7
22.5,0.87,315.9
21.4,1.16,319.9
21.4,0.78,216.1
21.6,0.15,229.7
22.1,0.74,219.3
22.1,2.61,290.4
21.7,2.03,258
22.1,0.59,244
21.3,6.51,34.5
20.9,2.5,113.8
18.6,53.65,187.5
21.3,0.19,260.2
21,0.55,335.6
21.5,1,286.5
22,1.75,164.1
21.7,1.9,301.4
22.2,1.57,354.8
22.3,1.06,298.2
20.4,2.95,134.9
21.2,2.02,122.2
21.7,1.71,44.4
21.3,0.54,0.6
21.9,2.25,217.3
21.5,3.95,90.5
21.1,0.39,99.8
22.4,0.48,187.5
21.9,0.35,322.4
20.9,0.88,97
